,make,year,engine_fuel_type,engine_hp,transmission_type,driven_wheels,number_of_doors,vehicle_size,vehicle_style,msrp,new_model
23,Audi,1993,Regular Unleaded,172.0,Automatic,All Wheel Drive,4,Midsize,Wagon,2000.0,Audi 100
26,Audi,1993,Regular Unleaded,172.0,Manual,All Wheel Drive,4,Midsize,Sedan,2000.0,Audi 100
27,Audi,1994,Regular Unleaded,172.0,Automatic,Front Wheel Drive,4,Midsize,Wagon,2000.0,Audi 100
28,Audi,1994,Regular Unleaded,172.0,Manual,All Wheel Drive,4,Midsize,Sedan,2000.0,Audi 100
29,Audi,1994,Regular Unleaded,172.0,Manual,Front Wheel Drive,4,Midsize,Sedan,2000.0,Audi 100
30,Audi,1994,Regular Unleaded,172.0,Automatic,Front Wheel Drive,4,Midsize,Sedan,2000.0,Audi 100
31,Audi,1994,Regular Unleaded,172.0,Automatic,All Wheel Drive,4,Midsize,Wagon,2000.0,Audi 100
32,Fiat,2017,Premium Unleaded,160.0,Manual,Rear Wheel Drive,2,Compact,Convertible,27495.0,Fiat 124 Spider
33,Fiat,2017,Premium Unleaded,160.0,Manual,Rear Wheel Drive,2,Compact,Convertible,24995.0,Fiat 124 Spider
34,Fiat,2017,Premium Unleaded,160.0,Manual,Rear Wheel Drive,2,Compact,Convertible,28195.0,Fiat 124 Spider
35,Mercedes-Benz,1991,Regular Unleaded,130.0,Manual,Rear Wheel Drive,4,Compact,Sedan,2000.0,Mercedes-Benz 190-Class
36,Mercedes-Benz,1991,Regular Unleaded,158.0,Manual,Rear Wheel Drive,4,Compact,Sedan,2000.0,Mercedes-Benz 190-Class
37,Mercedes-Benz,1992,Regular Unleaded,158.0,Manual,Rear Wheel Drive,4,Compact,Sedan,2000.0,Mercedes-Benz 190-Class
38,Mercedes-Benz,1992,Regular Unleaded,130.0,Manual,Rear Wheel Drive,4,Compact,Sedan,2000.0,Mercedes-Benz 190-Class
39,Mercedes-Benz,1993,Regular Unleaded,130.0,Manual,Rear Wheel Drive,4,Compact,Sedan,2000.0,Mercedes-Benz 190-Class
40,Mercedes-Benz,1993,Regular Unleaded,158.0,Manual,Rear Wheel Drive,4,Compact,Sedan,2000.0,Mercedes-Benz 190-Class
41,Bmw,2016,Premium Unleaded,240.0,Automatic,Rear Wheel Drive,2,Compact,Coupe,32850.0,Bmw 2 Series
42,Bmw,2016,Premium Unleaded,240.0,Automatic,Rear Wheel Drive,2,Compact,Convertible,38650.0,Bmw 2 Series
43,Bmw,2016,Premium Unleaded,320.0,Automatic,Rear Wheel Drive,2,Compact,Convertible,48750.0,Bmw 2 Series
44,Bmw,2016,Premium Unleaded,240.0,Automatic,All Wheel Drive,2,Compact,Coupe,34850.0,Bmw 2 Series
45,Bmw,2016,Premium Unleaded,240.0,Automatic,All Wheel Drive,2,Compact,Convertible,40650.0,Bmw 2 Series
46,Bmw,2016,Premium Unleaded,320.0,Automatic,Rear Wheel Drive,2,Compact,Coupe,44150.0,Bmw 2 Series
47,Bmw,2016,Premium Unleaded,240.0,Manual,Rear Wheel Drive,2,Compact,Coupe,32850.0,Bmw 2 Series
48,Bmw,2016,Premium Unleaded,320.0,Automatic,All Wheel Drive,2,Compact,Coupe,46150.0,Bmw 2 Series
49,Bmw,2016,Premium Unleaded,320.0,Automatic,Rear Wheel Drive,2,Compact,Convertible,50750.0,Bmw 2 Series
50,Bmw,2017,Premium Unleaded,335.0,Automatic,All Wheel Drive,2,Compact,Coupe,46450.0,Bmw 2 Series
51,Bmw,2017,Premium Unleaded,335.0,Automatic,Rear Wheel Drive,2,Compact,Convertible,49050.0,Bmw 2 Series
52,Bmw,2017,Premium Unleaded,335.0,Automatic,All Wheel Drive,2,Compact,Convertible,51050.0,Bmw 2 Series
53,Bmw,2017,Premium Unleaded,335.0,Automatic,Rear Wheel Drive,2,Compact,Coupe,44450.0,Bmw 2 Series
54,Bmw,2017,Premium Unleaded,248.0,Automatic,Rear Wheel Drive,2,Compact,Convertible,38950.0,Bmw 2 Series
55,Bmw,2017,Premium Unleaded,248.0,Automatic,Rear Wheel Drive,2,Compact,Coupe,33150.0,Bmw 2 Series
56,Bmw,2017,Premium Unleaded,248.0,Automatic,All Wheel Drive,2,Compact,Coupe,35150.0,Bmw 2 Series
57,Bmw,2017,Premium Unleaded,248.0,Automatic,All Wheel Drive,2,Compact,Convertible,40950.0,Bmw 2 Series
58,Audi,1990,Regular Unleaded,162.0,Automatic,Front Wheel Drive,4,Midsize,Sedan,2000.0,Audi 200
59,Audi,1990,Regular Unleaded,162.0,Manual,All Wheel Drive,4,Midsize,Wagon,2000.0,Audi 200
60,Audi,1990,Regular Unleaded,162.0,Manual,All Wheel Drive,4,Midsize,Sedan,2000.0,Audi 200
61,Audi,1991,Regular Unleaded,217.0,Manual,All Wheel Drive,4,Midsize,Sedan,2000.0,Audi 200
62,Audi,1991,Regular Unleaded,217.0,Manual,All Wheel Drive,4,Midsize,Wagon,2000.0,Audi 200
63,Audi,1991,Regular Unleaded,162.0,Automatic,Front Wheel Drive,4,Midsize,Sedan,2000.0,Audi 200
64,Chrysler,2015,Flex-Fuel,184.0,Automatic,Front Wheel Drive,4,Midsize,Sedan,25170.0,Chrysler 200
65,Chrysler,2015,Flex-Fuel,184.0,Automatic,Front Wheel Drive,4,Midsize,Sedan,23950.0,Chrysler 200
66,Chrysler,2015,Flex-Fuel,295.0,Automatic,All Wheel Drive,4,Midsize,Sedan,29370.0,Chrysler 200
67,Chrysler,2015,Flex-Fuel,184.0,Automatic,Front Wheel Drive,4,Midsize,Sedan,21995.0,Chrysler 200
68,Chrysler,2015,Flex-Fuel,184.0,Automatic,Front Wheel Drive,4,Midsize,Sedan,26625.0,Chrysler 200
69,Chrysler,2015,Flex-Fuel,295.0,Automatic,All Wheel Drive,4,Midsize,Sedan,30825.0,Chrysler 200
70,Chrysler,2016,Flex-Fuel,184.0,Automatic,Front Wheel Drive,4,Midsize,Sedan,21995.0,Chrysler 200
71,Chrysler,2016,Flex-Fuel,184.0,Automatic,Front Wheel Drive,4,Midsize,Sedan,27795.0,Chrysler 200
72,Chrysler,2016,Flex-Fuel,295.0,Automatic,All Wheel Drive,4,Midsize,Sedan,31785.0,Chrysler 200
73,Chrysler,2016,Flex-Fuel,295.0,Automatic,All Wheel Drive,4,Midsize,Sedan,29905.0,Chrysler 200
74,Chrysler,2016,Flex-Fuel,184.0,Automatic,Front Wheel Drive,4,Midsize,Sedan,22490.0,Chrysler 200
75,Chrysler,2016,Flex-Fuel,184.0,Automatic,Front Wheel Drive,4,Midsize,Sedan,27570.0,Chrysler 200
76,Chrysler,2016,Flex-Fuel,184.0,Automatic,Front Wheel Drive,4,Midsize,Sedan,25690.0,Chrysler 200
77,Chrysler,2016,Flex-Fuel,184.0,Automatic,Front Wheel Drive,4,Midsize,Sedan,24490.0,Chrysler 200
78,Chrysler,2017,Flex-Fuel,295.0,Automatic,All Wheel Drive,4,Midsize,Sedan,29905.0,Chrysler 200
79,Chrysler,2017,Flex-Fuel,295.0,Automatic,All Wheel Drive,4,Midsize,Sedan,31785.0,Chrysler 200
80,Chrysler,2017,Flex-Fuel,184.0,Automatic,Front Wheel Drive,4,Midsize,Sedan,26685.0,Chrysler 200
81,Chrysler,2017,Flex-Fuel,184.0,Automatic,Front Wheel Drive,4,Midsize,Sedan,22490.0,Chrysler 200
82,Chrysler,2017,Flex-Fuel,184.0,Automatic,Front Wheel Drive,4,Midsize,Sedan,25690.0,Chrysler 200
83,Chrysler,2017,Flex-Fuel,295.0,Automatic,All Wheel Drive,4,Midsize,Sedan,30900.0,Chrysler 200
84,Chrysler,2017,Flex-Fuel,184.0,Automatic,Front Wheel Drive,4,Midsize,Sedan,27795.0,Chrysler 200
85,Chrysler,2017,Flex-Fuel,184.0,Automatic,Front Wheel Drive,4,Midsize,Sedan,21995.0,Chrysler 200
86,Chrysler,2017,Flex-Fuel,184.0,Automatic,Front Wheel Drive,4,Midsize,Sedan,24490.0,Chrysler 200
87,Nissan,1996,Regular Unleaded,115.0,Manual,Front Wheel Drive,2,Compact,Coupe,2000.0,Nissan 200Sx
89,Nissan,1996,Regular Unleaded,140.0,Manual,Front Wheel Drive,2,Compact,Coupe,2000.0,Nissan 200Sx
90,Nissan,1997,Regular Unleaded,140.0,Manual,Front Wheel Drive,2,Compact,Coupe,2000.0,Nissan 200Sx
91,Nissan,1997,Regular Unleaded,115.0,Manual,Front Wheel Drive,2,Compact,Coupe,2000.0,Nissan 200Sx
93,Nissan,1998,Regular Unleaded,115.0,Manual,Front Wheel Drive,2,Compact,Coupe,2000.0,Nissan 200Sx
95,Nissan,1998,Regular Unleaded,140.0,Manual,Front Wheel Drive,2,Compact,Coupe,2073.0,Nissan 200Sx
96,Nissan,1996,Regular Unleaded,155.0,Manual,Rear Wheel Drive,2,Compact,Coupe,3713.0,Nissan 240Sx
97,Nissan,1996,Regular Unleaded,155.0,Manual,Rear Wheel Drive,2,Compact,Coupe,3520.0,Nissan 240Sx
98,Nissan,1997,Regular Unleaded,155.0,Manual,Rear Wheel Drive,2,Compact,Coupe,3910.0,Nissan 240Sx
99,Nissan,1997,Regular Unleaded,155.0,Manual,Rear Wheel Drive,2,Compact,Coupe,4182.0,Nissan 240Sx
100,Nissan,1997,Regular Unleaded,155.0,Manual,Rear Wheel Drive,2,Compact,Coupe,4107.0,Nissan 240Sx
101,Nissan,1998,Regular Unleaded,155.0,Manual,Rear Wheel Drive,2,Compact,Coupe,4299.0,Nissan 240Sx
102,Nissan,1998,Regular Unleaded,155.0,Manual,Rear Wheel Drive,2,Compact,Coupe,4693.0,Nissan 240Sx
103,Nissan,1998,Regular Unleaded,155.0,Manual,Rear Wheel Drive,2,Compact,Coupe,4107.0,Nissan 240Sx
104,Volvo,1991,Regular Unleaded,114.0,Manual,Rear Wheel Drive,4,Midsize,Wagon,2000.0,Volvo 240
105,Volvo,1991,Regular Unleaded,114.0,Automatic,Rear Wheel Drive,4,Midsize,Wagon,2000.0,Volvo 240
106,Volvo,1991,Regular Unleaded,114.0,Manual,Rear Wheel Drive,4,Midsize,Sedan,2000.0,Volvo 240
107,Volvo,1992,Regular Unleaded,114.0,Manual,Rear Wheel Drive,4,Midsize,Sedan,2000.0,Volvo 240
108,Volvo,1992,Regular Unleaded,114.0,Manual,Rear Wheel Drive,4,Midsize,Wagon,2000.0,Volvo 240
110,Volvo,1993,Regular Unleaded,114.0,Manual,Rear Wheel Drive,4,Midsize,Sedan,2000.0,Volvo 240
111,Volvo,1993,Regular Unleaded,114.0,Manual,Rear Wheel Drive,4,Midsize,Wagon,2000.0,Volvo 240
112,Mazda,2012,Regular Unleaded,100.0,Manual,Front Wheel Drive,4,Compact,4Dr Hatchback,16020.0,Mazda 2
113,Mazda,2012,Regular Unleaded,100.0,Manual,Front Wheel Drive,4,Compact,4Dr Hatchback,14530.0,Mazda 2
114,Mazda,2012,Regular Unleaded,100.0,Automatic,Front Wheel Drive,4,Compact,4Dr Hatchback,16860.0,Mazda 2
115,Mazda,2012,Regular Unleaded,100.0,Automatic,Front Wheel Drive,4,Compact,4Dr Hatchback,15370.0,Mazda 2
116,Mazda,2013,Regular Unleaded,100.0,Automatic,Front Wheel Drive,4,Compact,4Dr Hatchback,17050.0,Mazda 2
117,Mazda,2013,Regular Unleaded,100.0,Automatic,Front Wheel Drive,4,Compact,4Dr Hatchback,15560.0,Mazda 2
118,Mazda,2013,Regular Unleaded,100.0,Manual,Front Wheel Drive,4,Compact,4Dr Hatchback,16210.0,Mazda 2
119,Mazda,2013,Regular Unleaded,100.0,Manual,Front Wheel Drive,4,Compact,4Dr Hatchback,14720.0,Mazda 2
120,Mazda,2014,Regular Unleaded,100.0,Automatic,Front Wheel Drive,4,Compact,4Dr Hatchback,17050.0,Mazda 2
121,Mazda,2014,Regular Unleaded,100.0,Automatic,Front Wheel Drive,4,Compact,4Dr Hatchback,15560.0,Mazda 2
122,Mazda,2014,Regular Unleaded,100.0,Manual,Front Wheel Drive,4,Compact,4Dr Hatchback,16210.0,Mazda 2
123,Mazda,2014,Regular Unleaded,100.0,Manual,Front Wheel Drive,4,Compact,4Dr Hatchback,14720.0,Mazda 2
124,Bmw,2015,Premium Unleaded,300.0,Automatic,All Wheel Drive,4,Midsize,4Dr Hatchback,47250.0,Bmw 3 Series Gran Turismo
125,Bmw,2015,Premium Unleaded,240.0,Automatic,All Wheel Drive,4,Midsize,4Dr Hatchback,41850.0,Bmw 3 Series Gran Turismo
127,Bmw,2016,Premium Unleaded,240.0,Automatic,All Wheel Drive,4,Midsize,4Dr Hatchback,43000.0,Bmw 3 Series Gran Turismo
128,Bmw,2016,Premium Unleaded,300.0,Automatic,All Wheel Drive,4,Midsize,4Dr Hatchback,49200.0,Bmw 3 Series Gran Turismo
129,Bmw,2017,Premium Unleaded,320.0,Automatic,All Wheel Drive,4,Midsize,4Dr Hatchback,49650.0,Bmw 3 Series Gran Turismo
130,Bmw,2017,Premium Unleaded,248.0,Automatic,All Wheel Drive,4,Midsize,4Dr Hatchback,43950.0,Bmw 3 Series Gran Turismo
131,Bmw,2015,Premium Unleaded,241.0,Automatic,All Wheel Drive,4,Midsize,Wagon,41950.0,Bmw 3 Series
132,Bmw,2015,Premium Unleaded,335.0,Automatic,Rear Wheel Drive,4,Midsize,Sedan,50150.0,Bmw 3 Series
133,Bmw,2015,Premium Unleaded,240.0,Automatic,Rear Wheel Drive,4,Midsize,Sedan,37500.0,Bmw 3 Series
134,Bmw,2015,Premium Unleaded,300.0,Automatic,Rear Wheel Drive,4,Midsize,Sedan,43750.0,Bmw 3 Series
135,Bmw,2015,Diesel,180.0,Automatic,Rear Wheel Drive,4,Midsize,Sedan,39000.0,Bmw 3 Series
136,Bmw,2015,Premium Unleaded,240.0,Automatic,All Wheel Drive,4,Midsize,Sedan,39500.0,Bmw 3 Series
138,Bmw,2015,Premium Unleaded,180.0,Automatic,All Wheel Drive,4,Midsize,Sedan,34950.0,Bmw 3 Series
139,Bmw,2015,Premium Unleaded,300.0,Automatic,All Wheel Drive,4,Midsize,Sedan,45750.0,Bmw 3 Series
140,Bmw,2015,Diesel,180.0,Automatic,All Wheel Drive,4,Midsize,Wagon,43450.0,Bmw 3 Series
142,Bmw,2015,Diesel,180.0,Automatic,All Wheel Drive,4,Midsize,Sedan,41000.0,Bmw 3 Series
143,Bmw,2015,Premium Unleaded,180.0,Automatic,Rear Wheel Drive,4,Midsize,Sedan,32950.0,Bmw 3 Series
144,Bmw,2016,Diesel,180.0,Automatic,All Wheel Drive,4,Midsize,Sedan,41850.0,Bmw 3 Series
145,Bmw,2016,Premium Unleaded,320.0,Automatic,All Wheel Drive,4,Midsize,Sedan,47800.0,Bmw 3 Series
146,Bmw,2016,Diesel,180.0,Automatic,Rear Wheel Drive,4,Midsize,Sedan,39850.0,Bmw 3 Series
147,Bmw,2016,Premium Unleaded,240.0,Automatic,Rear Wheel Drive,4,Midsize,Sedan,38350.0,Bmw 3 Series
148,Bmw,2016,Premium Unleaded,240.0,Automatic,All Wheel Drive,4,Midsize,Sedan,40350.0,Bmw 3 Series
149,Bmw,2016,Premium Unleaded,240.0,Manual,Rear Wheel Drive,4,Midsize,Sedan,38350.0,Bmw 3 Series
150,Bmw,2016,Premium Unleaded,240.0,Automatic,All Wheel Drive,4,Midsize,Wagon,42650.0,Bmw 3 Series
151,Bmw,2016,Premium Unleaded,180.0,Automatic,Rear Wheel Drive,4,Midsize,Sedan,33150.0,Bmw 3 Series
152,Bmw,2016,Premium Unleaded,180.0,Automatic,All Wheel Drive,4,Midsize,Sedan,35150.0,Bmw 3 Series
153,Bmw,2016,Diesel,180.0,Automatic,All Wheel Drive,4,Midsize,Wagon,44150.0,Bmw 3 Series
154,Bmw,2016,Premium Unleaded,320.0,Automatic,Rear Wheel Drive,4,Midsize,Sedan,45800.0,Bmw 3 Series
155,Bmw,2017,Premium Unleaded,248.0,Automatic,Rear Wheel Drive,4,Midsize,Sedan,38750.0,Bmw 3 Series
156,Bmw,2017,Premium Unleaded,180.0,Automatic,All Wheel Drive,4,Midsize,Sedan,35450.0,Bmw 3 Series
157,Bmw,2017,Premium Unleaded,180.0,Automatic,Rear Wheel Drive,4,Midsize,Sedan,33450.0,Bmw 3 Series
158,Bmw,2017,Premium Unleaded,248.0,Automatic,All Wheel Drive,4,Midsize,Sedan,40750.0,Bmw 3 Series
159,Bmw,2017,Diesel,180.0,Automatic,All Wheel Drive,4,Midsize,Sedan,42250.0,Bmw 3 Series
160,Bmw,2017,Premium Unleaded,248.0,Automatic,All Wheel Drive,4,Midsize,Wagon,42950.0,Bmw 3 Series
161,Bmw,2017,Diesel,180.0,Automatic,Rear Wheel Drive,4,Midsize,Sedan,40250.0,Bmw 3 Series
162,Bmw,2017,Premium Unleaded,320.0,Automatic,All Wheel Drive,4,Midsize,Sedan,49900.0,Bmw 3 Series
163,Bmw,2017,Premium Unleaded,320.0,Automatic,Rear Wheel Drive,4,Midsize,Sedan,47900.0,Bmw 3 Series
164,Bmw,2017,Diesel,180.0,Automatic,All Wheel Drive,4,Midsize,Wagon,44450.0,Bmw 3 Series
165,Mercedes-Benz,1991,Regular Unleaded,177.0,Automatic,Rear Wheel Drive,4,Large,Sedan,2232.0,Mercedes-Benz 300-Class
166,Mercedes-Benz,1991,Regular Unleaded,177.0,Automatic,Rear Wheel Drive,4,Midsize,Wagon,2000.0,Mercedes-Benz 300-Class
167,Mercedes-Benz,1991,Regular Unleaded,158.0,Automatic,Rear Wheel Drive,4,Midsize,Sedan,2000.0,Mercedes-Benz 300-Class
168,Mercedes-Benz,1991,Regular Unleaded,177.0,Automatic,All Wheel Drive,4,Midsize,Sedan,2105.0,Mercedes-Benz 300-Class
169,Mercedes-Benz,1991,Regular Unleaded,177.0,Automatic,All Wheel Drive,4,Midsize,Wagon,2199.0,Mercedes-Benz 300-Class
170,Mercedes-Benz,1991,Regular Unleaded,177.0,Automatic,Rear Wheel Drive,4,Midsize,Sedan,2000.0,Mercedes-Benz 300-Class
171,Mercedes-Benz,1991,Regular Unleaded,177.0,Automatic,Rear Wheel Drive,4,Large,Sedan,2124.0,Mercedes-Benz 300-Class
172,Mercedes-Benz,1991,Regular Unleaded,228.0,Manual,Rear Wheel Drive,2,Compact,Convertible,3552.0,Mercedes-Benz 300-Class
173,Mercedes-Benz,1991,Regular Unleaded,217.0,Automatic,Rear Wheel Drive,2,Midsize,Coupe,2179.0,Mercedes-Benz 300-Class
174,Mercedes-Benz,1991,Diesel,121.0,Automatic,Rear Wheel Drive,4,Midsize,Sedan,2000.0,Mercedes-Benz 300-Class
175,Mercedes-Benz,1992,Diesel,121.0,Automatic,Rear Wheel Drive,4,Midsize,Sedan,2000.0,Mercedes-Benz 300-Class
176,Mercedes-Benz,1992,Regular Unleaded,228.0,Automatic,Rear Wheel Drive,4,Large,Sedan,2377.0,Mercedes-Benz 300-Class
177,Mercedes-Benz,1992,Regular Unleaded,228.0,Manual,Rear Wheel Drive,2,Compact,Convertible,3814.0,Mercedes-Benz 300-Class
178,Mercedes-Benz,1992,Regular Unleaded,177.0,Automatic,All Wheel Drive,4,Midsize,Sedan,2207.0,Mercedes-Benz 300-Class
179,Mercedes-Benz,1992,Regular Unleaded,177.0,Automatic,Rear Wheel Drive,4,Midsize,Wagon,2000.0,Mercedes-Benz 300-Class
180,Mercedes-Benz,1992,Regular Unleaded,217.0,Automatic,Rear Wheel Drive,2,Midsize,Coupe,2248.0,Mercedes-Benz 300-Class
181,Mercedes-Benz,1992,Regular Unleaded,177.0,Automatic,Rear Wheel Drive,4,Midsize,Sedan,2065.0,Mercedes-Benz 300-Class
182,Mercedes-Benz,1992,Diesel,148.0,Automatic,Rear Wheel Drive,4,Large,Sedan,2547.0,Mercedes-Benz 300-Class
183,Mercedes-Benz,1992,Regular Unleaded,177.0,Automatic,All Wheel Drive,4,Midsize,Wagon,2282.0,Mercedes-Benz 300-Class
184,Mercedes-Benz,1992,Regular Unleaded,158.0,Automatic,Rear Wheel Drive,4,Midsize,Sedan,2000.0,Mercedes-Benz 300-Class
185,Mercedes-Benz,1993,Regular Unleaded,177.0,Automatic,All Wheel Drive,4,Midsize,Wagon,2544.0,Mercedes-Benz 300-Class
186,Mercedes-Benz,1993,Regular Unleaded,217.0,Automatic,Rear Wheel Drive,2,Midsize,Coupe,2397.0,Mercedes-Benz 300-Class
187,Mercedes-Benz,1993,Diesel,121.0,Automatic,Rear Wheel Drive,4,Midsize,Sedan,2000.0,Mercedes-Benz 300-Class
188,Mercedes-Benz,1993,Regular Unleaded,228.0,Manual,Rear Wheel Drive,2,Compact,Convertible,4174.0,Mercedes-Benz 300-Class
189,Mercedes-Benz,1993,Regular Unleaded,217.0,Automatic,Rear Wheel Drive,4,Midsize,Sedan,2187.0,Mercedes-Benz 300-Class
190,Mercedes-Benz,1993,Diesel,148.0,Automatic,Rear Wheel Drive,4,Large,Sedan,2729.0,Mercedes-Benz 300-Class
191,Mercedes-Benz,1993,Regular Unleaded,177.0,Automatic,All Wheel Drive,4,Midsize,Sedan,2433.0,Mercedes-Benz 300-Class
192,Mercedes-Benz,1993,Regular Unleaded,194.0,Automatic,Rear Wheel Drive,4,Midsize,Sedan,2247.0,Mercedes-Benz 300-Class
193,Mercedes-Benz,1993,Regular Unleaded,228.0,Automatic,Rear Wheel Drive,4,Large,Sedan,2540.0,Mercedes-Benz 300-Class
194,Mitsubishi,1997,Regular Unleaded,218.0,Manual,Front Wheel Drive,2,Compact,2Dr Hatchback,3941.0,Mitsubishi 3000Gt
195,Mitsubishi,1997,Regular Unleaded,161.0,Manual,Front Wheel Drive,2,Compact,2Dr Hatchback,3295.0,Mitsubishi 3000Gt
196,Mitsubishi,1997,Regular Unleaded,320.0,Manual,All Wheel Drive,2,Compact,2Dr Hatchback,6008.0,Mitsubishi 3000Gt
197,Mitsubishi,1998,Regular Unleaded,320.0,Manual,All Wheel Drive,2,Compact,2Dr Hatchback,6710.0,Mitsubishi 3000Gt
198,Mitsubishi,1998,Regular Unleaded,161.0,Manual,Front Wheel Drive,2,Compact,2Dr Hatchback,3701.0,Mitsubishi 3000Gt
199,Mitsubishi,1998,Regular Unleaded,218.0,Manual,Front Wheel Drive,2,Compact,2Dr Hatchback,4671.0,Mitsubishi 3000Gt
200,Mitsubishi,1999,Regular Unleaded,218.0,Manual,Front Wheel Drive,2,Compact,2Dr Hatchback,5306.0,Mitsubishi 3000Gt
201,Mitsubishi,1999,Regular Unleaded,320.0,Manual,All Wheel Drive,2,Compact,2Dr Hatchback,7600.0,Mitsubishi 3000Gt
202,Mitsubishi,1999,Regular Unleaded,161.0,Manual,Front Wheel Drive,2,Compact,2Dr Hatchback,4090.0,Mitsubishi 3000Gt
203,Chrysler,2015,Regular Unleaded,300.0,Automatic,All Wheel Drive,4,Large,Sedan,37570.0,Chrysler 300
204,Chrysler,2015,Regular Unleaded,292.0,Automatic,Rear Wheel Drive,4,Large,Sedan,31695.0,Chrysler 300
205,Chrysler,2015,Regular Unleaded,292.0,Automatic,Rear Wheel Drive,4,Large,Sedan,38070.0,Chrysler 300
206,Chrysler,2015,Regular Unleaded,292.0,Automatic,All Wheel Drive,4,Large,Sedan,44895.0,Chrysler 300
207,Chrysler,2015,Regular Unleaded,300.0,Automatic,Rear Wheel Drive,4,Large,Sedan,35070.0,Chrysler 300
208,Chrysler,2015,Regular Unleaded,292.0,Automatic,Rear Wheel Drive,4,Large,Sedan,42395.0,Chrysler 300
209,Chrysler,2015,Regular Unleaded,292.0,Automatic,All Wheel Drive,4,Large,Sedan,34195.0,Chrysler 300
210,Chrysler,2015,Regular Unleaded,292.0,Automatic,All Wheel Drive,4,Large,Sedan,40570.0,Chrysler 300
211,Chrysler,2016,Regular Unleaded,300.0,Automatic,All Wheel Drive,4,Large,Sedan,38095.0,Chrysler 300
212,Chrysler,2016,Regular Unleaded,300.0,Automatic,Rear Wheel Drive,4,Large,Sedan,35595.0,Chrysler 300
213,Chrysler,2016,Regular Unleaded,292.0,Automatic,All Wheel Drive,4,Large,Sedan,45190.0,Chrysler 300
214,Chrysler,2016,Regular Unleaded,292.0,Automatic,Rear Wheel Drive,4,Large,Sedan,32260.0,Chrysler 300
215,Chrysler,2016,Regular Unleaded,292.0,Automatic,All Wheel Drive,4,Large,Sedan,37755.0,Chrysler 300
216,Chrysler,2016,Regular Unleaded,292.0,Automatic,All Wheel Drive,4,Large,Sedan,41055.0,Chrysler 300
217,Chrysler,2016,Regular Unleaded,300.0,Automatic,Rear Wheel Drive,4,Large,Sedan,36090.0,Chrysler 300
218,Chrysler,2016,Regular Unleaded,292.0,Automatic,Rear Wheel Drive,4,Large,Sedan,42690.0,Chrysler 300
219,Chrysler,2016,Regular Unleaded,292.0,Automatic,Rear Wheel Drive,4,Large,Sedan,38555.0,Chrysler 300
220,Chrysler,2016,Regular Unleaded,292.0,Automatic,Rear Wheel Drive,4,Large,Sedan,35255.0,Chrysler 300
221,Chrysler,2016,Regular Unleaded,300.0,Automatic,All Wheel Drive,4,Large,Sedan,38590.0,Chrysler 300
